red_balls,ambiguous_count,risk_count,total,ambiguous_pct,p_hat
1,0,15,15,0.0,0.006639415474144297
2,0,15,15,0.0,4.4671079180485024e-05
3,0,15,15,0.0,2.985854482222895e-07
4,0,15,15,0.0,1.9956836058651214e-09
5,0,15,15,0.0,1.3338734037718879e-11
6,0,15,15,0.0,8.915332312985954e-14
7,0,15,15,0.0,5.958822630780734e-16
8,0,15,15,0.0,3.982753070615444e-18
9,0,15,15,0.0,2.6619892895550605e-20
10,0,15,15,0.0,1.779218257337467e-22
11,0,15,15,0.0,1.1891924658239756e-24
12,0,15,15,0.0,7.948315025098564e-27
13,0,15,15,0.0,5.312488394755641e-29
14,0,15,15,0.0,3.550756714510468e-31
15,0,15,15,0.0,2.3732519129994786e-33
16,0,15,15,0.0,1.5862322021496748e-35
17,0,15,15,0.0,1.0602046016920766e-37
18,0,15,15,0.0,7.086186977705855e-40
19,0,15,15,0.0,4.7362599448131894e-42
20,0,15,15,0.0,3.165617607242973e-44
21,0,15,15,0.0,2.115832946682209e-46
22,0,15,15,0.0,1.4141787207725073e-48
23,0,15,15,0.0,9.452076343842581e-51
24,0,15,15,0.0,6.31757117382076e-53
25,0,15,15,0.0,4.2225331328697715e-55
26,0,15,15,0.0,2.8222532944413367e-57
27,0,15,15,0.0,1.886335383843753e-59
28,0,15,15,0.0,1.2607873245641174e-61
29,0,15,15,0.0,8.42684016530783e-64
30,0,15,15,0.0,5.632324642555684e-66
31,0,15,15,0.0,3.764528608213144e-68
32,0,15,15,0.0,2.5161325991366067e-70
33,0,15,15,0.0,1.6817306800712414e-72
34,0,15,15,0.0,1.1240337974490547e-74
35,0,15,15,0.0,7.512808042214324e-77
36,0,15,15,0.0,5.0214045883008045e-79
37,0,15,15,0.0,3.3562023543965553e-81
38,0,15,15,0.0,2.243215826484184e-83
39,0,15,15,0.0,1.4993187873780265e-85
40,0,15,15,0.0,1.0021134835286724e-87
41,0,15,15,0.0,6.697918030001983e-90
42,0,15,15,0.0,4.4767490582659194e-92
43,0,15,15,0.0,2.992165929907371e-94
44,0,15,15,0.0,1.999901454285765e-96
45,0,15,15,0.0,1.336692523257938e-98
46,0,15,15,0.0,8.934174720982854e-101
47,0,15,15,0.0,5.9714165042613e-103
48,0,15,15,0.0,3.9911705536291004e-105
49,0,15,15,0.0,2.6676153600721134e-107
50,0,15,15,0.0,1.7829786058183008e-109
