red_balls,ambiguous_count,risk_count,total,ambiguous_pct,p_hat
1,2,13,15,0.13333333333333333,0.419088488069018
2,0,15,15,0.0,0.3423064484532563
3,0,15,15,0.0,0.27298126766174097
4,0,15,15,0.0,0.21314598594397205
5,1,14,15,0.06666666666666667,0.16347699022723003
6,0,15,15,0.0,0.12356468316538703
7,0,15,15,0.0,0.09232139101478905
8,0,15,15,0.0,0.06836176852591827
9,0,15,15,0.0,0.050275827492223556
10,0,15,15,0.0,0.03678581265254841
11,1,14,15,0.06666666666666667,0.02681324772976012
12,0,15,15,0.0,0.01948952340751177
13,0,15,15,0.0,0.01413712960862618
14,0,15,15,0.0,0.010239309694650823
15,0,15,15,0.0,0.007408101973971458
16,0,14,14,0.0,0.005355497990071463
17,0,15,15,0.0,0.0038694033432002113
18,0,15,15,0.0,0.0027945258093823133
19,0,15,15,0.0,0.0020176326054441294
20,0,15,15,0.0,0.0014564044538829541
21,0,15,15,0.0,0.0010511240640516453
22,0,15,15,0.0,0.0007585372469547245
23,0,15,15,0.0,0.0005473491364599273
24,0,15,15,0.0,0.00039493571438571065
25,0,15,15,0.0,0.00028495083871954023
26,0,15,15,0.0,0.0002055891366678661
27,0,15,15,0.0,0.00014832719508149996
28,0,15,15,0.0,0.00010701249199596115
29,0,15,15,0.0,7.720459917314158e-05
30,0,15,15,0.0,5.5699110709155164e-05
31,0,15,15,0.0,4.0183776370148086e-05
32,0,15,15,0.0,2.8990209784916708e-05
33,0,15,15,0.0,2.0914650604413016e-05
34,0,15,15,0.0,1.50885981551604e-05
35,0,15,15,0.0,1.0885451978264308e-05
36,0,15,15,0.0,7.853143467235151e-06
37,0,15,15,0.0,5.665525909777552e-06
38,0,15,15,0.0,4.087301398178827e-06
39,0,15,15,0.0,2.9487157310572677e-06
40,0,15,15,0.0,2.1273013310597317e-06
41,0,15,15,0.0,1.5347053871496687e-06
42,0,15,15,0.0,1.1071869331089446e-06
43,0,15,15,0.0,7.987609668410285e-07
44,0,15,15,0.0,5.762523095718876e-07
45,0,15,15,0.0,4.157272544469589e-07
46,0,15,15,0.0,2.9991921852772236e-07
47,0,15,15,0.0,2.1637151227930483e-07
48,1,14,15,0.06666666666666667,1.5609746673206609e-07
49,1,14,15,0.06666666666666667,1.1261380231790084e-07
50,0,15,15,0.0,8.124326796824909e-08
