red_balls,ambiguous_count,risk_count,total,ambiguous_pct,p_hat
1,7,8,15,0.4666666666666667,0.48247839335659837
2,7,8,15,0.4666666666666667,0.46499215511373837
3,6,9,15,0.4,0.4475915516725634
4,4,11,15,0.26666666666666666,0.43031836479439334
5,7,8,15,0.4666666666666667,0.4132131462170065
6,6,9,15,0.4,0.39631484696774716
7,2,13,15,0.13333333333333333,0.37966047866035607
8,4,11,15,0.26666666666666666,0.3632848126642245
9,4,11,15,0.26666666666666666,0.34722012179295625
10,4,11,15,0.26666666666666666,0.3314959678168295
11,4,11,15,0.26666666666666666,0.3161390367234634
12,2,13,15,0.13333333333333333,0.30117302229296616
13,1,14,15,0.06666666666666667,0.2866185572726305
14,1,14,15,0.06666666666666667,0.27249319027793506
15,3,12,15,0.2,0.25881140554692333
16,5,10,15,0.3333333333333333,0.24558468185830462
17,6,9,15,0.4,0.2328215863027584
18,5,10,15,0.3333333333333333,0.22052789817403698
19,3,12,15,0.2,0.20870675801422664
20,3,12,15,0.2,0.19735883679083513
21,1,14,15,0.06666666666666667,0.18648252028136894
22,1,14,15,0.06666666666666667,0.17607410396906917
23,2,13,15,0.13333333333333333,0.16612799408492746
24,1,14,15,0.06666666666666667,0.15663691083922993
25,1,14,15,0.06666666666666667,0.14759209034504758
26,0,15,15,0.0,0.1389834822229039
27,4,11,15,0.26666666666666666,0.1307999403698364
28,2,13,15,0.13333333333333333,0.12302940486010575
29,4,11,15,0.26666666666666666,0.11565907340526607
30,3,12,15,0.2,0.10867556122799045
31,2,13,15,0.13333333333333333,0.10206504858991848
32,1,14,15,0.06666666666666667,0.09581341555466795
33,4,11,15,0.26666666666666666,0.08990636386125986
34,3,12,15,0.2,0.08432952603074924
35,2,13,15,0.13333333333333333,0.0790685620315845
36,0,15,15,0.0,0.0741092439900244
37,0,15,15,0.0,0.0694375295544842
38,1,14,15,0.06666666666666667,0.0650396246110829
39,2,13,15,0.13333333333333333,0.06090203610625121
40,1,14,15,0.06666666666666667,0.057011615765357
41,2,13,15,0.13333333333333333,0.053355595508081034
42,0,15,15,0.0,0.049921615355637675
43,0,15,15,0.0,0.046697744605444236
44,1,14,15,0.06666666666666667,0.04367249701868646
45,0,15,15,0.0,0.040834840728197035
46,0,15,15,0.0,0.038174203530554444
47,0,15,15,0.0,0.03568047417934314
48,1,14,15,0.06666666666666667,0.03334400024776351
49,2,13,15,0.13333333333333333,0.031155583079593922
50,0,15,15,0.0,0.029106470298956532
