red_balls,ambiguous_count,risk_count,total,ambiguous_pct,p_hat
1,15,0,15,1.0,0.8925532899125888
2,14,1,15,0.9333333333333333,0.8841999137294846
3,13,2,15,0.8666666666666667,0.8752878510430387
4,11,4,15,0.7333333333333333,0.8657940136161817
5,14,1,15,0.9333333333333333,0.8556966000582129
6,13,2,15,0.8666666666666667,0.8449755053536033
7,9,6,15,0.6,0.8336127637897297
8,8,7,15,0.5333333333333333,0.8215930203379502
9,15,0,15,1.0,0.8089040236004114
10,13,2,15,0.8666666666666667,0.7955371313565368
11,13,2,15,0.8666666666666667,0.7814878176099951
12,13,2,15,0.8666666666666667,0.7667561679567061
13,12,3,15,0.8,0.7513473481993164
14,10,5,15,0.6666666666666666,0.7352720295757873
15,11,4,15,0.7333333333333333,0.71854675291385
16,14,1,15,0.9333333333333333,0.701194213634511
17,14,1,15,0.9333333333333333,0.6832434499582506
18,11,4,15,0.7333333333333333,0.6647299180381319
19,3,12,15,0.2,0.6456954401273083
20,8,7,15,0.5333333333333333,0.6261880152919774
21,13,2,15,0.8666666666666667,0.6062614865341887
22,5,10,15,0.3333333333333333,0.5859750633367729
23,5,10,15,0.3333333333333333,0.5653927043461567
24,4,11,15,0.26666666666666666,0.5445823708565852
25,14,1,15,0.9333333333333333,0.5236151675879338
26,10,5,15,0.6666666666666666,0.5025643925726464
27,7,8,15,0.4666666666666667,0.48150452241082725
28,12,3,15,0.8,0.46051016238972753
29,10,5,15,0.6666666666666666,0.43965499274974007
30,3,12,15,0.2,0.4190107425759787
31,9,6,15,0.6,0.3986462213872872
32,1,14,15,0.06666666666666667,0.3786264355917991
33,3,12,15,0.2,0.35901181280085326
34,9,6,15,0.6,0.3398575518506555
35,1,14,15,0.06666666666666667,0.32121311063969404
36,2,12,14,0.14285714285714285,0.3031218379362815
37,1,14,15,0.06666666666666667,0.28562074951655997
38,1,14,15,0.06666666666666667,0.26874044368516387
39,5,10,15,0.3333333333333333,0.2525051466663772
40,2,13,15,0.13333333333333333,0.23693287470918156
41,7,8,15,0.4666666666666667,0.22203569711583654
42,0,15,15,0.0,0.20782008279099826
43,1,14,15,0.06666666666666667,0.19428731225865775
44,1,14,15,0.06666666666666667,0.18143393729646362
45,4,11,15,0.26666666666666666,0.1692522712454171
46,4,11,15,0.26666666666666666,0.1577308945039283
47,0,15,15,0.0,0.14685516154288153
48,3,12,15,0.2,0.13660769782656804
49,11,4,15,0.7333333333333333,0.1269688771555131
50,0,15,15,0.0,0.11791727204749064
