red_balls,ambiguous_count,risk_count,total,ambiguous_pct,p_hat
1,9,6,15,0.6,0.5551433368456493
2,11,4,15,0.7333333333333333,0.5509366108466357
3,8,7,15,0.5333333333333333,0.5467225853639569
4,11,4,15,0.7333333333333333,0.5425018531528224
5,9,6,15,0.6,0.5382750108019057
6,9,6,15,0.6,0.5340426584003372
7,8,7,15,0.5333333333333333,0.5298053992004539
8,9,6,15,0.6,0.525563839276702
9,5,10,15,0.3333333333333333,0.5213185871811006
10,5,10,15,0.3333333333333333,0.5170702535956768
11,7,8,15,0.4666666666666667,0.5128194509822963
12,9,6,15,0.6,0.5085667932303091
13,5,10,15,0.3333333333333333,0.504312895302445
14,11,4,15,0.7333333333333333,0.5000583728793894
15,8,7,15,0.5333333333333333,0.4958038420034751
16,6,9,15,0.4,0.49154991872193093
17,7,8,15,0.4666666666666667,0.4872972187301225
18,8,7,15,0.5333333333333333,0.4830463570152282
19,8,7,15,0.5333333333333333,0.47879794750078325
20,1,14,15,0.06666666666666667,0.4745526026925333
21,8,7,15,0.5333333333333333,0.4703109333260275
22,9,6,15,0.6,0.46607354801638184
23,9,6,15,0.6,0.46184105291063876
24,7,8,15,0.4666666666666667,0.45761405134314087
25,3,12,15,0.2,0.45339314349433485
26,3,12,15,0.2,0.4491789260534092
27,7,8,15,0.4666666666666667,0.44497199188516623
28,5,10,15,0.3333333333333333,0.4407729297015161
29,8,7,15,0.5333333333333333,0.43658232373797506
30,3,12,15,0.2,0.43240075343553463
31,8,7,15,0.5333333333333333,0.42822879312826434
32,5,10,15,0.3333333333333333,0.4240670117369909
33,2,13,15,0.13333333333333333,0.4199159724693917
34,6,9,15,0.4,0.415776232526824
35,4,11,15,0.26666666666666666,0.4116483428181956
36,11,4,15,0.7333333333333333,0.40753284768117637
37,6,9,15,0.4,0.4034302846110253
38,5,10,15,0.3333333333333333,0.3993411839973019
39,9,6,15,0.6,0.39526606886871
40,2,13,15,0.13333333333333333,0.39120545464630946
41,7,8,15,0.4666666666666667,0.3871598489053114
42,6,9,15,0.4,0.38312975114566294
43,8,7,15,0.5333333333333333,0.3791156525716033
44,11,4,15,0.7333333333333333,0.3751180358803626
45,7,8,15,0.4666666666666667,0.3711373750601551
46,8,7,15,0.5333333333333333,0.3671741351976026
47,6,9,15,0.4,0.3632287722947062
48,6,9,15,0.4,0.3593017330954698
49,6,9,15,0.4,0.3553934549222588
50,0,15,15,0.0,0.35150436552196435
