red_balls,ambiguous_count,risk_count,total,ambiguous_pct,p_hat
1,14,1,15,0.9333333333333333,0.9220140804521414
2,15,0,15,1.0,0.9183114964133023
3,13,2,15,0.8666666666666667,0.914449433522534
4,13,2,15,0.8666666666666667,0.9104225912290963
5,12,3,15,0.8,0.9062256436132371
6,14,1,15,0.9333333333333333,0.9018532557965516
7,14,1,15,0.9333333333333333,0.8973001019965008
8,14,1,15,0.9333333333333333,0.8925608852764333
9,12,3,15,0.8,0.8876303590320287
10,12,3,15,0.8,0.8825033502425635
11,13,2,15,0.8666666666666667,0.8771747845007221
12,13,2,15,0.8666666666666667,0.8716397128176719
13,14,1,15,0.9333333333333333,0.8658933401807767
14,14,1,15,0.9333333333333333,0.8599310558195352
15,11,4,15,0.7333333333333333,0.8537484651111709
16,14,1,15,0.9333333333333333,0.847341423030766
17,13,2,15,0.8666666666666667,0.8407060690220981
18,13,2,15,0.8666666666666667,0.8338388631345552
19,14,1,15,0.9333333333333333,0.8267366232389706
20,13,2,15,0.8666666666666667,0.8193965631012777
21,11,4,15,0.7333333333333333,0.81181633105797
22,11,4,15,0.7333333333333333,0.8039940490020263
23,12,3,15,0.8,0.7959283513528246
24,14,1,15,0.9333333333333333,0.7876184236493714
25,8,7,15,0.5333333333333333,0.779064040373694
26,12,3,15,0.8,0.7702656015813856
27,11,4,15,0.7333333333333333,0.761224167889987
28,11,4,15,0.7333333333333333,0.7519414933541086
29,14,1,15,0.9333333333333333,0.7424200557399583
30,6,9,15,0.4,0.7326630837022121
31,7,8,15,0.4666666666666667,0.7226745803639109
32,13,2,15,0.8666666666666667,0.7124593428061188
33,8,7,15,0.5333333333333333,0.7020229769892299
34,8,7,15,0.5333333333333333,0.6913719076526046
35,10,5,15,0.6666666666666666,0.680513382774088
36,15,0,15,1.0,0.6694554722160577
37,11,4,15,0.7333333333333333,0.6582070602398865
38,14,1,15,0.9333333333333333,0.6467778316356992
39,11,4,15,0.7333333333333333,0.6351782512883823
40,6,9,15,0.4,0.6234195370829649
41,10,5,15,0.6666666666666666,0.6115136261414601
42,11,4,15,0.7333333333333333,0.5994731344774241
43,9,6,15,0.6,0.5873113102520582
44,13,2,15,0.8666666666666667,0.5750419809145546
45,10,5,15,0.6666666666666666,0.5626794946074039
46,12,3,15,0.8,0.5502386563122015
47,12,3,15,0.8,0.537734659300814
48,11,4,15,0.7333333333333333,0.5251830125383157
49,9,6,15,0.6,0.5125994647557586
50,0,15,15,0.0,0.49999992597067583
