red_balls,ambiguous_count,risk_count,total,ambiguous_pct,p_hat
1,13,2,15,0.8666666666666667,0.8743812613814986
2,14,1,15,0.9333333333333333,0.8699670890002716
3,13,2,15,0.8666666666666667,0.8654216786922201
4,14,1,15,0.9333333333333333,0.8607428133166799
5,14,1,15,0.9333333333333333,0.8559283589963121
6,11,4,15,0.7333333333333333,0.8509762751125046
7,14,1,15,0.9333333333333333,0.8458846246395443
8,12,3,15,0.8,0.8406515847904679
9,13,2,15,0.8666666666666667,0.8352754579428554
10,10,5,15,0.6666666666666666,0.8297546828080112
11,9,6,15,0.6,0.8240878458020143
12,12,3,15,0.8,0.8182736925720444
13,11,4,15,0.7333333333333333,0.8123111396262643
14,13,2,15,0.8666666666666667,0.8061992860104091
15,9,6,15,0.6,0.799937424969163
16,11,4,15,0.7333333333333333,0.7935250555254592
17,11,4,15,0.7333333333333333,0.7869618939060958
18,10,5,15,0.6666666666666666,0.7802478847375991
19,11,4,15,0.7333333333333333,0.7733832119321513
20,11,4,15,0.7333333333333333,0.7663683091797626
21,10,5,15,0.6666666666666666,0.7592038699597294
22,12,3,15,0.8,0.7518908569819467
23,11,4,15,0.7333333333333333,0.7444305109668548
24,9,6,15,0.6,0.7368243586718342
25,11,4,15,0.7333333333333333,0.7290742200717725
26,12,3,15,0.8,0.7211822146023983
27,13,2,15,0.8666666666666667,0.7131507663768755
28,11,4,15,0.7333333333333333,0.7049826082891429
29,14,1,15,0.9333333333333333,0.6966807849215855
30,12,3,15,0.8,0.6882486541799042
31,12,3,15,0.8,0.6796898875844843
32,12,3,15,0.8,0.6710084691551681
33,14,1,15,0.9333333333333333,0.6622086928350757
34,12,3,15,0.8,0.6532951584089485
35,13,2,15,0.8666666666666667,0.6442727658823424
36,9,6,15,0.6,0.635146708299775
37,8,7,15,0.5333333333333333,0.6259224629925356
38,10,5,15,0.6666666666666666,0.6166057812601461
39,13,2,15,0.8666666666666667,0.607202676503286
40,8,7,15,0.5333333333333333,0.5977194108401677
41,12,3,15,0.8,0.5881624802527179
42,9,6,15,0.6,0.5785385983232586
43,8,7,15,0.5333333333333333,0.568854678636511
44,8,7,15,0.5333333333333333,0.5591178159354341
45,8,7,15,0.5333333333333333,0.5493352661324759
46,10,5,15,0.6666666666666666,0.53951442529002
47,5,10,15,0.3333333333333333,0.5296628076949965
48,9,6,15,0.6,0.519788023162578
49,5,10,15,0.3333333333333333,0.5098977537124542
50,0,15,15,0.0,0.4999997297682172
