model,r,beta,eu_diff_raw,eu_diff_norm,risky_rate
gpt-4-1,-3.0,0.01,535937500.0,-0.44616926207029983,1.0
gpt-4-1,-3.0,0.01,1458437500.0000002,0.0,1.0
gpt-4-1,-3.0,0.01,3135937500.0000005,0.8113267611088649,1.0
gpt-4-1,-3.0,0.01,5898437500.0,2.1474162857367274,1.0
gpt-4-1,-3.0,0.01,12946093750.0,5.556031557701644,1.0
gpt-4-1,-3.0,0.01,36498437500.0,16.94717717392228,1.0
gpt-4-1,-3.0,0.01,88750000.00000003,-0.6624525324031586,1.0
gpt-4-1,-3.0,0.01,298437500.00000006,-0.5610366872645505,1.0
gpt-4-1,-3.0,0.01,643750000.0,-0.3940254966860677,1.0
gpt-4-1,-3.0,0.01,1173437500.0,-0.13784091023310086,1.0
gpt-4-1,-3.0,0.01,2547645500.0000005,0.5267979724672814,1.0
gpt-4-1,-3.0,0.01,6373437500.000001,2.377151136125229,1.0
gpt-4-1,-3.0,0.01,10937500.0,-0.7000867282891696,1.0
gpt-4-1,-3.0,0.01,100818249.99999997,-0.6566156953332617,1.0
gpt-4-1,-3.0,0.01,289518250.0,-0.5653505031894508,1.0
gpt-4-1,-3.0,0.01,498437500.0,-0.46430622394307625,1.0
gpt-4-1,-3.0,0.01,1016406250.0,-0.21378943807535208,1.0
gpt-4-1,-3.0,0.01,2455038249.9999995,0.48200826147014303,1.0
gpt-4-1,-3.0,0.01,-32142500.0,-0.7209224700886152,1.0
gpt-4-1,-3.0,0.01,17157500.0,-0.6970784108798718,1.0
gpt-4-1,-3.0,0.01,85937500.0,-0.6638128045436168,1.0
gpt-4-1,-3.0,0.01,178757500.0,-0.6189201965161206,1.0
gpt-4-1,-3.0,0.01,374218750.0,-0.5243849101466481,1.0
gpt-4-1,-3.0,0.01,898437500.0,-0.27084529730012785,1.0
gpt-4-1,-3.0,0.01,-4374500.000000015,-0.7074924125610617,1.0
gpt-4-1,-3.0,0.01,27099250.0,-0.6922700604612404,1.0
gpt-4-1,-3.0,0.01,108999250.0,-0.6526589357310968,1.0
