model,r,beta,eu_diff_raw,eu_diff_norm,risky_rate
gpt-4-1,-3.0,0.01,535937500.0,-0.9961599340742793,1.0
gpt-4-1,-3.0,0.01,1458437500.0000002,-0.9905125905515206,1.0
gpt-4-1,-3.0,0.01,3135937500.0000005,-0.9802433019234149,1.0
gpt-4-1,-3.0,0.01,5898437500.0,-0.9633318802631214,1.0
gpt-4-1,-3.0,0.01,12946093750.0,-0.9201876679335096,1.0
gpt-4-1,-3.0,0.01,36498437500.0,-0.7760053634106397,1.0
gpt-4-1,-3.0,0.01,88750000.00000003,-0.998897518281958,1.0
gpt-4-1,-3.0,0.01,298437500.00000006,-0.9976138572034449,1.0
gpt-4-1,-3.0,0.01,643750000.0,-0.9954999294959082,1.0
gpt-4-1,-3.0,0.01,1173437500.0,-0.9922572983065193,1.0
gpt-4-1,-3.0,0.01,2547645500.0000005,-0.983844697062375,1.0
gpt-4-1,-3.0,0.01,6373437500.000001,-0.9604240340047904,1.0
gpt-4-1,-3.0,0.01,10937500.0,-0.9993738694124347,1.0
gpt-4-1,-3.0,0.01,100818249.99999997,-0.9988236390912063,1.0
gpt-4-1,-3.0,0.01,289518250.0,-0.9976684589039493,1.0
gpt-4-1,-3.0,0.01,498437500.0,-0.9963895008841476,1.0
gpt-4-1,-3.0,0.01,1016406250.0,-0.9932186093228426,1.0
gpt-4-1,-3.0,0.01,2455038249.9999995,-0.9844116184211262,1.0
gpt-4-1,-3.0,0.01,-32142500.0,-0.9996375957636112,1.0
gpt-4-1,-3.0,0.01,17157500.0,-0.9993357919309045,1.0
gpt-4-1,-3.0,0.01,85937500.0,-0.9989147357926982,1.0
gpt-4-1,-3.0,0.01,178757500.0,-0.9983465120249123,1.0
gpt-4-1,-3.0,0.01,374218750.0,-0.9971499409418361,1.0
gpt-4-1,-3.0,0.01,898437500.0,-0.993940788245553,1.0
gpt-4-1,-3.0,0.01,-4374500.000000015,-0.9994676061322401,1.0
gpt-4-1,-3.0,0.01,27099250.0,-0.9992749307087176,1.0
gpt-4-1,-3.0,0.01,108999250.0,-0.9987735567959654,1.0
gpt-4-1,-3.0,0.01,221279250.0,-0.9980862031583119,1.0
gpt-4-1,-3.0,0.01,461545499.9999999,-0.9966153456508051,1.0
gpt-4-1,-3.0,0.01,9509500.0,-0.9993826113165545,1.0
gpt-4-1,-3.0,0.01,88389500.0,-0.9988997251842235,1.0
gpt-4-1,-3.0,0.01,139079500.0,-0.9985894120750977,1.0
gpt-4-1,-3.0,0.01,346949500.0,-0.997316877334636,1.0
gpt-4-1,-3.0,0.01,23393500.0,-0.9992976165008688,1.0
gpt-4-1,-3.0,0.01,63859750.0,-0.99904989095634,1.0
gpt-4-1,-3.0,0.01,112133500.0,-0.9987543696019966,1.0
gpt-4-1,-3.0,0.01,313519750.00000006,-0.9975215269629613,1.0
gpt-4-1,-3.0,0.01,5625000000.0,-0.9650058049184106,1.0
gpt-4-1,-3.0,0.01,16025000000.0,-0.9013392763149528,1.0
gpt-4-1,-3.0,0.01,36225000000.0,-0.777679288065929,1.0
gpt-4-1,-3.0,0.01,71025000000.0,-0.5646412885082048,1.0
gpt-4-1,-3.0,0.01,163462500000.0,0.0012408978170002083,1.0
gpt-4-1,-3.0,0.01,326610937500.0,1.0,1.0
gpt-4-1,-3.0,0.01,900000000.0,-0.9939312229618085,1.0
gpt-4-1,-3.0,0.01,2745000000.0000005,-0.9826365359162912,1.0
gpt-4-1,-3.0,0.01,6100000000.000001,-0.9620979586600796,1.0
gpt-4-1,-3.0,0.01,11625000000.0,-0.9282751153394927,1.0
gpt-4-1,-3.0,0.01,25720312500.0,-0.841986690680269,1.0
gpt-4-1,-3.0,0.01,72825000000.0,-0.5536220816345294,1.0
gpt-4-1,-3.0,0.01,225000000.0,-0.9980634255394368,1.0
gpt-4-1,-3.0,0.01,1023120750.0,-0.993177504620313,1.0
gpt-4-1,-3.0,0.01,2181600749.9999995,-0.9860855430764155,1.0
gpt-4-1,-3.0,0.01,4305000000.0,-0.9730865566257726,1.0
gpt-4-1,-3.0,0.01,9337500000.0,-0.9422786907414551,1.0
gpt-4-1,-3.0,0.01,25982280750.0,-0.8403829782685552,1.0
gpt-4-1,-3.0,0.01,-91341645.0,-1.0,1.0
gpt-4-1,-3.0,0.01,183720000.0,-0.9983161326837398,1.0
