model,r,beta,eu_diff_raw,eu_diff_norm,risky_rate
gpt-4-1,-3.0,0.01,535937500.0,-0.294127484202632,1.0
gpt-4-1,-3.0,0.01,1458437500.0000002,-0.27642215308491264,1.0
gpt-4-1,-3.0,0.01,3135937500.0000005,-0.2442262799684094,1.0
gpt-4-1,-3.0,0.01,5898437500.0,-0.1912062504695479,1.0
gpt-4-1,-3.0,0.01,12946093750.0,-0.055942198968068894,1.0
gpt-4-1,-3.0,0.01,36498437500.0,0.39609253782553355,1.0
gpt-4-1,-3.0,0.01,88750000.00000003,-0.30271025142128255,1.0
gpt-4-1,-3.0,0.01,298437500.00000006,-0.29868576728171964,1.0
gpt-4-1,-3.0,0.01,643750000.0,-0.29205826359436193,1.0
gpt-4-1,-3.0,0.01,1173437500.0,-0.2818920927798178,1.0
gpt-4-1,-3.0,0.01,2547645500.0000005,-0.2555172335227784,1.0
gpt-4-1,-3.0,0.01,6373437500.000001,-0.18208968431137257,1.0
gpt-4-1,-3.0,0.01,10937500.0,-0.3042036889037731,1.0
gpt-4-1,-3.0,0.01,100818249.99999997,-0.3024786282643596,1.0
gpt-4-1,-3.0,0.01,289518250.0,-0.2988569524032066,1.0
gpt-4-1,-3.0,0.01,498437500.0,-0.2948472131098564,1.0
gpt-4-1,-3.0,0.01,1016406250.0,-0.2849059575788198,1.0
gpt-4-1,-3.0,0.01,2455038249.9999995,-0.2572946232519398,1.0
gpt-4-1,-3.0,0.01,-32142500.0,-0.30503051347239246,1.0
gpt-4-1,-3.0,0.01,17157500.0,-0.3040843098690282,1.0
gpt-4-1,-3.0,0.01,85937500.0,-0.3027642310893244,1.0
gpt-4-1,-3.0,0.01,178757500.0,-0.30098275809816266,1.0
gpt-4-1,-3.0,0.01,374218750.0,-0.2972313151150371,1.0
gpt-4-1,-3.0,0.01,898437500.0,-0.2871701047661298,1.0
gpt-4-1,-3.0,0.01,-4374500.000000015,-0.30449756861117094,1.0
gpt-4-1,-3.0,0.01,27099250.0,-0.3038935001393376,1.0
gpt-4-1,-3.0,0.01,108999250.0,-0.30232161220595954,1.0
gpt-4-1,-3.0,0.01,221279250.0,-0.3001666478938755,1.0
gpt-4-1,-3.0,0.01,461545499.9999999,-0.2955552728123983,1.0
gpt-4-1,-3.0,0.01,9509500.0,-0.3042310961805602,1.0
gpt-4-1,-3.0,0.01,88389500.0,-0.3027171704151773,1.0
gpt-4-1,-3.0,0.01,139079500.0,-0.30174428886031857,1.0
gpt-4-1,-3.0,0.01,346949500.0,-0.2977546875817925,1.0
gpt-4-1,-3.0,0.01,23393500.0,-0.3039646237499495,1.0
gpt-4-1,-3.0,0.01,63859750.0,-0.3031879642861637,1.0
gpt-4-1,-3.0,0.01,112133500.0,-0.30226145726389375,1.0
gpt-4-1,-3.0,0.01,313519750.00000006,-0.29839629711342675,1.0
gpt-4-1,-3.0,0.01,5625000000.0,-0.1964542737513922,1.0
gpt-4-1,-3.0,0.01,16025000000.0,0.003150543185498197,1.0
gpt-4-1,-3.0,0.01,36225000000.0,0.39084451454368924,1.0
gpt-4-1,-3.0,0.01,71025000000.0,1.0587529404478995,1.0
gpt-4-1,-3.0,0.01,163462500000.0,2.8328846967559578,1.0
gpt-4-1,-3.0,0.01,326610937500.0,5.964155273748959,1.0
gpt-4-1,-3.0,0.01,900000000.0,-0.2871401160616621,1.0
gpt-4-1,-3.0,0.01,2745000000.0000005,-0.2517294538262234,1.0
gpt-4-1,-3.0,0.01,6100000000.000001,-0.18733770759321688,1.0
gpt-4-1,-3.0,0.01,11625000000.0,-0.0812976485954939,1.0
gpt-4-1,-3.0,0.01,25720312500.0,0.18923045440746408,1.0
gpt-4-1,-3.0,0.01,72825000000.0,1.093299927994669,1.0
gpt-4-1,-3.0,0.01,225000000.0,-0.3000952363917007,1.0
gpt-4-1,-3.0,0.01,1023120750.0,-0.28477708771888494,1.0
gpt-4-1,-3.0,0.01,2181600749.9999995,-0.2625426465337841,1.0
gpt-4-1,-3.0,0.01,4305000000.0,-0.22178873128568985,1.0
gpt-4-1,-3.0,0.01,9337500000.0,-0.12520111193618014,1.0
gpt-4-1,-3.0,0.01,25982280750.0,0.1942583510021302,1.0
gpt-4-1,-3.0,0.01,-91341645.0,-0.3061667090974449,1.0
gpt-4-1,-3.0,0.01,183720000.0,-0.3008875139727733,1.0
gpt-4-1,-3.0,0.01,625000000.0,-0.2924181280479741,1.0
gpt-4-1,-3.0,0.01,1282920000.0,-0.2797908202442127,1.0
gpt-4-1,-3.0,0.01,2812500000.0,-0.25043394179321954,1.0
gpt-4-1,-3.0,0.01,7425000000.0,-0.16190728620462272,1.0
