model,r,beta,eu_diff_raw,eu_diff_norm,risky_rate
gpt-4-1,-3.0,0.01,535937500.0,-0.339622641509434,1.0
gpt-4-1,-3.0,0.01,1458437500.0000002,0.0,1.0
gpt-4-1,-3.0,0.01,3135937500.0000005,0.2075471698113207,1.0
gpt-4-1,-3.0,0.01,5898437500.0,0.37735849056603765,1.0
gpt-4-1,-3.0,0.01,12946093750.0,0.6037735849056605,1.0
gpt-4-1,-3.0,0.01,36498437500.0,0.7735849056603774,1.0
gpt-4-1,-3.0,0.01,88750000.00000003,-0.7358490566037736,1.0
gpt-4-1,-3.0,0.01,298437500.00000006,-0.49056603773584906,1.0
gpt-4-1,-3.0,0.01,643750000.0,-0.28301886792452835,1.0
gpt-4-1,-3.0,0.01,1173437500.0,-0.05660377358490565,1.0
gpt-4-1,-3.0,0.01,2547645500.0000005,0.13207547169811318,1.0
gpt-4-1,-3.0,0.01,6373437500.000001,0.4150943396226414,1.0
gpt-4-1,-3.0,0.01,10937500.0,-0.8867924528301887,1.0
gpt-4-1,-3.0,0.01,100818249.99999997,-0.7169811320754718,1.0
gpt-4-1,-3.0,0.01,289518250.0,-0.5094339622641509,1.0
gpt-4-1,-3.0,0.01,498437500.0,-0.3584905660377359,1.0
gpt-4-1,-3.0,0.01,1016406250.0,-0.13207547169811318,1.0
gpt-4-1,-3.0,0.01,2455038249.9999995,0.1132075471698113,1.0
gpt-4-1,-3.0,0.01,-32142500.0,-0.9433962264150944,1.0
gpt-4-1,-3.0,0.01,17157500.0,-0.8679245283018868,1.0
gpt-4-1,-3.0,0.01,85937500.0,-0.7735849056603774,1.0
gpt-4-1,-3.0,0.01,178757500.0,-0.6415094339622642,1.0
gpt-4-1,-3.0,0.01,374218750.0,-0.4339622641509434,1.0
gpt-4-1,-3.0,0.01,898437500.0,-0.18867924528301883,1.0
gpt-4-1,-3.0,0.01,-4374500.000000015,-0.9245283018867925,1.0
gpt-4-1,-3.0,0.01,27099250.0,-0.8301886792452831,1.0
gpt-4-1,-3.0,0.01,108999250.0,-0.6981132075471699,1.0
gpt-4-1,-3.0,0.01,221279250.0,-0.5849056603773585,1.0
gpt-4-1,-3.0,0.01,461545499.9999999,-0.37735849056603776,1.0
gpt-4-1,-3.0,0.01,9509500.0,-0.9056603773584906,1.0
gpt-4-1,-3.0,0.01,88389500.0,-0.7547169811320755,1.0
gpt-4-1,-3.0,0.01,139079500.0,-0.6603773584905661,1.0
gpt-4-1,-3.0,0.01,346949500.0,-0.4528301886792453,1.0
