Model,Price,PlayRate
gpt-4.1,1.0,1.0
gpt-4.1,2.0,0.2
gpt-4.1,4.0,0.1
gpt-4.1,8.0,0.0
gpt-4.1,16.0,0.0
gpt-4.1,32.0,0.0
gpt-4.1,100.0,0.0
gpt-4.1,1000.0,0.0
gpt-4.1,10000.0,0.0
gpt-4.1,100000.0,0.0
gpt-4o-mini,1.0,0.0
gpt-4o-mini,2.0,0.0
gpt-4o-mini,4.0,0.0
gpt-4o-mini,8.0,0.0
gpt-4o-mini,16.0,0.0
gpt-4o-mini,32.0,0.0
gpt-4o-mini,100.0,0.0
gpt-4o-mini,1000.0,0.0
gpt-4o-mini,10000.0,0.0
gpt-4o-mini,100000.0,0.0
gpt-4o,1.0,0.9
gpt-4o,2.0,0.5
gpt-4o,4.0,0.0
gpt-4o,8.0,0.0
gpt-4o,16.0,0.0
gpt-4o,32.0,0.0
gpt-4o,100.0,0.0
gpt-4o,1000.0,0.0
gpt-4o,10000.0,0.0
gpt-4o,100000.0,0.0
gpt-5,1.0,1.0
gpt-5,2.0,1.0
gpt-5,4.0,1.0
gpt-5,8.0,1.0
gpt-5,16.0,0.6
gpt-5,32.0,0.4
gpt-5,100.0,0.0
gpt-5,1000.0,0.0
gpt-5,10000.0,0.0
gpt-5,100000.0,0.0
o3-mini,1.0,1.0
o3-mini,2.0,1.0
o3-mini,4.0,1.0
o3-mini,8.0,1.0
o3-mini,16.0,1.0
o3-mini,32.0,1.0
o3-mini,100.0,1.0
o3-mini,1000.0,1.0
o3-mini,10000.0,0.7
o3-mini,100000.0,0.8
